Earning_ID,Driver_ID,Year,Month,Month_Name,Total_Trips,Trip_Earnings_SAR,Incentives_SAR,Surge_Earnings_SAR,Tips_SAR,Uber_Commission_SAR,VAT_SAR,Net_Earnings_SAR,Hours_Online,Average_Rating,Cancellation_Rate,Active_Days
ERN00000001,DRV00001,2020,7,July,249,6831.75,521.76,790.46,1084.01,1905.55,1143.33,6179.1,214.3,3.93,0.03,24
ERN00000002,DRV00001,2020,8,August,205,4673.1,497.56,727.4,718.8,1350.12,810.07,4456.67,171.6,3.88,0.07,14
ERN00000003,DRV00001,2020,9,September,215,9515.01,1097.19,920.13,167.67,2608.78,1565.27,7525.95,223.4,4.72,0.02,22
ERN00000004,DRV00001,2020,10,October,72,2090.67,346.96,382.4,227.62,618.27,370.96,2058.42,101.8,4.82,0.12,27
ERN00000005,DRV00001,2020,11,November,87,2075.27,148.76,257.34,32.2,583.15,349.89,1580.53,90.9,4.55,0.05,12
ERN00000006,DRV00001,2020,12,December,46,900.92,132.39,75.59,18.03,244.13,146.48,736.32,66.8,4.93,0.12,26
ERN00000007,DRV00001,2021,1,January,231,7717.11,1217.02,1610.78,1061.16,2331.97,1399.18,7874.92,230.8,4.5,0.11,10
ERN00000008,DRV00001,2021,2,February,200,5697.91,1092.32,304.58,438.38,1500.62,900.37,5132.2,162,4.86,0.12,27
ERN00000009,DRV00001,2021,3,March,152,6170.65,485.86,497.09,42.25,1666.93,1000.16,4528.76,178.3,4.06,0.05,15
ERN00000010,DRV00001,2021,4,April,133,2798.12,278.4,364.63,607.71,790.69,474.41,2783.76,163.5,4.02,0.03,22
ERN00000011,DRV00001,2021,5,May,167,4418.94,466.72,921.84,395.88,1335.19,801.12,4067.07,164.5,4.17,0.04,29
ERN00000012,DRV00001,2021,6,June,105,1896.78,282.54,289.05,51.89,546.46,327.87,1645.93,146.2,4.98,0.09,27
ERN00000013,DRV00001,2021,7,July,148,4355.29,801.17,634.91,465.3,1247.55,748.53,4260.59,202,4.46,0.14,30
ERN00000014,DRV00001,2021,8,August,284,10381.65,1973.52,1050.85,759.15,2858.12,1714.88,9592.17,253,4.92,0.06,15
ERN00000015,DRV00001,2021,9,September,57,1147.8,188.81,204.99,119.59,338.2,202.92,1120.07,82.1,4.75,0.14,19
ERN00000016,DRV00001,2021,10,October,286,10830.86,936.17,2081.61,1112.2,3228.12,1936.87,9795.85,375.9,4.22,0.05,22
ERN00000017,DRV00001,2021,11,November,85,2682.92,448.65,558.35,103.32,810.32,486.19,2496.73,104.9,4.69,0.11,21
ERN00000018,DRV00001,2021,12,December,63,1733.4,176.79,94.91,223.72,457.08,274.25,1497.49,59.6,4.85,0.1,17
ERN00000019,DRV00001,2022,1,January,124,3399.79,531.05,617.82,10.23,1004.4,602.64,2951.85,99.7,4.86,0.04,22
ERN00000020,DRV00001,2022,2,February,252,9260.18,1850.65,2018.52,1241.17,2819.68,1691.81,9859.03,376.7,4.5,0.11,22
ERN00000021,DRV00001,2022,3,March,276,9193.3,906.89,611.05,1303.79,2451.09,1470.65,8093.29,313.8,4.13,0.14,25
ERN00000022,DRV00001,2022,4,April,126,4708.4,876.65,377.07,565.75,1271.37,762.82,4493.68,104.7,4.41,0.05,17
ERN00000023,DRV00001,2022,5,May,210,7920.49,1267.07,430.43,959.03,2087.73,1252.64,7236.65,261.8,4.55,0.08,20
ERN00000024,DRV00001,2022,6,June,197,8565.85,881.11,1481.51,863.22,2511.84,1507.1,7772.75,175.8,4.34,0.04,14
