Trip_ID,Rider_ID,Driver_ID,Trip_Date,Trip_Time,Day_of_Week,Pickup_Location,Dropoff_Location,City,Service_Type,Distance_KM,Duration_Minutes,Base_Fare_SAR,Surge_Multiplier,Final_Fare_SAR,Payment_Method,Status,Cancellation_Reason,Driver_Rating,Rider_Rating,Is_Peak_Hour
TRP00000001,RDR000697,DRV00055,7/16/2024 0:00,0.970138889,Tuesday,Scitech,Prince Sultan University,Khobar,UberComfort,33.7,135,140.84,1.76,247.88,Debit Card,Completed,Rider Cancelled,3.5,3.8,1
TRP00000002,RDR000697,DRV00332,1/10/2025 0:00,0.945138889,Friday,Fanateer,Al Khobar Park,Khobar,UberComfort,21.3,60,103.01,1.32,135.97,Credit Card,Completed,Rider Cancelled,4.1,3.9,1
TRP00000003,RDR000697,DRV00118,9/23/2024 0:00,0.504166667,Monday,Al Khobar Waterfront,Al Khobar Park,Khobar,UberBLACK,13.4,28,65.98,1,65.98,Debit Card,Completed,Rider Cancelled,4.3,4.7,0
TRP00000004,RDR000697,DRV00178,6/26/2025 0:00,0.758333333,Thursday,Al Rashid Mall,Corniche Al Khobar,Khobar,UberComfort,35.2,174,155.61,1.24,192.96,Debit Card,Completed,Rider Cancelled,4.2,4.8,1
TRP00000005,RDR000697,DRV00311,3/21/2025 0:00,0.957638889,Friday,Al Rashid Mall,Scitech,Khobar,UberBLACK,33.4,83,131.99,1,131.99,Debit Card,Cancelled,Other,3.9,4,1
TRP00000006,RDR000697,DRV00151,5/19/2025 0:00,0.051388889,Monday,Corniche Al Khobar,Al Khobar Park,Khobar,UberXL,13.5,35,83.6,1,83.6,Cash,Completed,Rider Cancelled,4.5,4.1,0
TRP00000007,RDR000668,DRV00311,1/16/2022 0:00,0.177083333,Sunday,Granada Center,Diplomatic Quarter,Riyadh,UberSELECT,34.1,112,128.43,1,128.43,Debit Card,Completed,Rider Cancelled,4.2,4.6,0
TRP00000008,RDR000668,DRV00311,11/13/2020 0:00,0.89375,Friday,Diplomatic Quarter,Kingdom Centre,Riyadh,UberXL,18.4,91,88.84,1,88.84,Cash,No-Show,Rider Cancelled,3.9,4,0
TRP00000009,RDR000668,DRV00311,5/11/2020 0:00,0.913888889,Monday,Granada Center,Boulevard Riyadh City,Riyadh,UberSELECT,6.8,22,49.08,1,49.08,Debit Card,Cancelled,No Driver Available,3.9,4,0
TRP00000010,RDR000668,DRV00067,10/7/2024 0:00,0.163194444,Monday,Boulevard Riyadh City,Diplomatic Quarter,Riyadh,UberBLACK,10.6,33,63.93,1,63.93,Cash,Completed,Rider Cancelled,4.4,4.2,0
TRP00000011,RDR000668,DRV00311,2/22/2023 0:00,0.385416667,Wednesday,King Khalid International Airport,Boulevard Riyadh City,Riyadh,UberBLACK,42.7,96,152.94,1,152.94,Debit Card,No-Show,Other,3.9,4,1
TRP00000012,RDR000668,DRV00223,5/27/2024 0:00,0.715277778,Monday,Boulevard Riyadh City,Diplomatic Quarter,Riyadh,UberBLACK,20.2,53,98.14,1.56,153.1,Cash,Completed,Rider Cancelled,4.1,4.5,1
TRP00000013,RDR000668,DRV00311,6/6/2020 0:00,0.301388889,Saturday,Kingdom Centre,Riyadh Front,Riyadh,UberX,27.3,73,75.69,1,75.69,Cash,Cancelled,Rider Cancelled,3.9,4,1
TRP00000014,RDR000064,DRV00301,10/23/2025 0:00,0.419444444,Thursday,Al Bad,Tayma,Tabuk,UberSELECT,30.8,81,98.78,1,98.78,Debit Card,Completed,Rider Cancelled,4.2,4.7,0
TRP00000015,RDR000064,DRV00311,9/26/2024 0:00,0.154166667,Thursday,Prince Sultan Park,Tabuk Regional Airport,Tabuk,UberXL,19.7,90,69.34,1,69.34,Cash,Cancelled,Rider Cancelled,3.9,4,0
TRP00000016,RDR000064,DRV00053,8/16/2025 0:00,0.452083333,Saturday,Al Disah Valley,Al Ula,Tabuk,UberComfort,10.2,34,45.18,1,45.18,Cash,Completed,Rider Cancelled,4.2,4.8,0
TRP00000017,RDR000064,DRV00099,9/3/2024 0:00,0.856944444,Tuesday,Tabuk Castle,Maqna,Tabuk,UberComfort,9.2,31,40.35,1.4,56.49,Cash,Completed,Rider Cancelled,4.1,5,1
TRP00000018,RDR000534,DRV00371,11/16/2025 0:00,0.948611111,Sunday,Al Bad,Tabuk University,Tabuk,UberComfort,10.2,27,44.63,1.72,76.76,Mada,Completed,Rider Cancelled,4,3.6,1
TRP00000019,RDR000534,DRV00141,7/3/2025 0:00,0.063888889,Thursday,Al Disah Valley,Tayma,Tabuk,UberX,27.6,111,77.98,1,77.98,Cash,Completed,Rider Cancelled,4.4,3.6,0
TRP00000020,RDR000534,DRV00311,9/22/2025 0:00,0.342361111,Monday,Tabuk Regional Airport,Tayma,Tabuk,UberSELECT,19,76,69.14,1,69.14,Cash,No-Show,Rider Cancelled,3.9,4,1
TRP00000021,RDR000534,DRV00099,6/4/2025 0:00,0.106944444,Wednesday,Tayma,Haql,Tabuk,UberSELECT,7.7,23,35.12,1,35.12,Cash,Completed,Rider Cancelled,4.2,4.3,0
TRP00000022,RDR000534,DRV00086,4/18/2025 0:00,0.911111111,Friday,Al Bad,Al Ula,Tabuk,UberX,42.4,101,104.19,1,104.19,Debit Card,Completed,Rider Cancelled,3.9,4.4,0
TRP00000023,RDR000534,DRV00325,8/27/2025 0:00,0.688194444,Wednesday,Al Ula,Tabuk Castle,Tabuk,UberX,29.3,131,74.19,1,74.19,Cash,Completed,Rider Cancelled,5,3.7,0
TRP00000024,RDR000534,DRV00043,11/18/2025 0:00,0.708333333,Tuesday,Al Disah Valley,Maqna,Tabuk,UberComfort,25.5,114,94.93,2.19,207.9,Apple Pay,Completed,Rider Cancelled,4,4.8,1
TRP00000025,RDR000534,DRV00099,7/30/2025 0:00,0.885416667,Wednesday,Al Disah Valley,Prince Sultan Park,Tabuk,UberBLACK,40,128,156.97,1,156.97,Credit Card,Completed,Rider Cancelled,5,4.7,0
TRP00000026,RDR000534,DRV00311,7/14/2025 0:00,0.999305556,Monday,Tabuk Regional Airport,Tabuk University,Tabuk,UberComfort,13.5,58,55,1,55,Cash,No-Show,Payment Issue,3.9,4,1
TRP00000027,RDR000534,DRV00311,12/5/2025 0:00,0.471527778,Friday,Tayma,Al Ula,Tabuk,UberX,30.4,97,86.78,1,86.78,Cash,No-Show,No Driver Available,3.9,4,0
TRP00000028,RDR000534,DRV00043,12/30/2025 0:00,0.529861111,Tuesday,Al Bad,Tabuk Regional Airport,Tabuk,UberX,7,34,38.94,1,38.94,Apple Pay,Completed,Rider Cancelled,3.7,4.2,0
TRP00000029,RDR000534,DRV00311,11/23/2025 0:00,0.813888889,Sunday,Al Disah Valley,Tabuk University,Tabuk,UberBLACK,10.2,21,62.09,1,62.09,Cash,No-Show,Other,3.9,4,1
TRP00000030,RDR000067,DRV00321,9/29/2022 0:00,0.544444444,Thursday,Hejaz Railway Museum,Al Noor Mall,Medina,UberX,32.9,95,100.28,1,100.28,Mada,Completed,Rider Cancelled,3.9,3.7,0
TRP00000031,RDR000067,DRV00252,12/22/2025 0:00,0.529861111,Monday,Mount Uhud,Hejaz Railway Museum,Medina,UberXL,25.6,51,90.34,1,90.34,Mada,Completed,Rider Cancelled,4.5,4.2,0
TRP00000032,RDR000067,DRV00311,11/25/2021 0:00,0.6875,Thursday,Mount Uhud,Quba Mosque,Medina,UberSELECT,24.2,94,91.9,1,91.9,Mada,No-Show,Driver Cancelled,3.9,4,0
TRP00000033,RDR000067,DRV00311,12/18/2021 0:00,0.25625,Saturday,Al-Masjid an-Nabawi,Quba Mosque,Medina,UberComfort,44.3,169,175.52,1,175.52,Mada,Cancelled,Other,3.9,4,0
TRP00000034,RDR000067,DRV00327,8/10/2024 0:00,0.521527778,Saturday,Al Noor Mall,Qiblatayn Mosque,Medina,UberComfort,30.2,60,129.31,1,129.31,Mada,Completed,Rider Cancelled,4.1,3.8,0
TRP00000035,RDR000067,DRV00327,4/23/2023 0:00,0.065972222,Sunday,Qiblatayn Mosque,Quba Mosque,Medina,UberXL,7.7,26,49.96,1,49.96,Mada,Completed,Rider Cancelled,4.8,4.4,0
TRP00000036,RDR000067,DRV00179,2/4/2023 0:00,0.727777778,Saturday,Mount Uhud,Taibah University,Medina,UberXL,13.1,35,72.39,1.12,81.08,Mada,Completed,Rider Cancelled,4.4,3.9,1
TRP00000037,RDR000067,DRV00132,3/24/2022 0:00,0.430555556,Thursday,Taibah University,Quba Mosque,Medina,UberComfort,8.5,26,34.81,1,34.81,Mada,Completed,Rider Cancelled,4,4.2,0
TRP00000038,RDR000067,DRV00311,5/16/2025 0:00,0.558333333,Friday,Date Market,Al-Masjid an-Nabawi,Medina,UberBLACK,18.4,37,86.05,1,86.05,Mada,No-Show,Payment Issue,3.9,4,0
